,RSI
1038,69.21939680662551
1039,76.18912797282123
1040,79.56830277941874
1041,83.86268099019026
1042,87.38561448391297
1043,78.3404571640952
1044,76.121696373694
1045,77.76187750429256
1046,82.28181818181689
1047,79.39112124934175
1048,75.3234593122226
1049,72.11963839199794
1050,66.15208186309152
1051,60.46605386227876
1052,52.29999999999971
1053,50.79352483732776
1054,53.120849933599146
1055,49.57990253738908
1056,37.934458788480924
1057,45.50046772684857
1058,46.80423666910057
1059,48.90370110506906
1060,44.31387414708097
1061,48.08986633804148
1062,49.51683748169901
1063,46.80102671356516
1064,47.119065849923025
1065,53.850360971341445
1066,58.301752723827086
1067,58.780145165065484
1068,63.4864668671571
1069,65.6219488381171
1070,64.82445987654327
1071,58.7909955365802
1072,57.92550029720728
1073,47.666943177105686
1074,47.91536376902282
1075,49.0154065911634
1076,49.735997515270796
1077,54.48382126348236
1078,55.79633915421808
1079,58.75566543057357
1080,63.42930812204589
1081,59.774109470026595
1082,48.78167641325641
1083,34.39450686641679
1084,44.3556790552273
1085,49.039938556068364
1086,50.0
1087,62.62096774193808
1088,60.75899843505447
1089,42.34935680433338
1090,46.7762733720162
1091,36.9879889128431
1092,47.53451676528562
1093,43.842364532016845
1094,41.7943107220993
1095,42.57057949479965
1096,53.99361022364165
1097,58.66687928560129
1098,66.91345417411381
1099,64.46138711264251
1100,56.37600194316259
1101,55.167249126310615
1102,57.16064757160808
1103,72.16916780354961
1104,74.75247524752794
1105,86.8972746331256
1106,87.30964467005309
1107,87.86407766990502
1108,88.32975445803585
1109,85.0656356770383
1110,84.28868709799646
1111,85.152409046216
1112,85.32944709415489
1113,89.4580489763159
1114,95.30974130651848
1115,84.39058171745253
1116,79.40787734602304
1117,80.50306594919425
1118,71.73646828312593
1119,61.539461708491324
1120,56.70723727260791
1121,49.69755625453693
1122,51.71012136345147
1123,47.71728646447283
1124,49.871557747636786
1125,48.26891469169162
1126,40.0544959128061
1127,37.85310734463236
1128,39.18802188309839
1129,40.21392270417213
1130,43.429095354523106
1131,42.19237976264834
1132,44.70549305095973
1133,46.55410062026116
1134,43.977864583333265
1135,44.41157133464862
1136,39.24358084663521
1137,42.653492231106334
1138,36.46551724138006
1139,33.35799424578714
1140,44.29530201342317
1141,37.351942663146424
1142,28.763832890108375
1143,38.800827015849976
1144,35.90707208746052
1145,30.247257854618525
1146,31.114935934211786
1147,34.356075898264564
1148,46.27480750460998
1149,56.12271203918548
1150,59.73015049299343
1151,63.979988882714004
1152,69.3886526902231
1153,61.460659398397475
1154,43.341225214559806
1155,52.51762336354505
1156,55.15929624346206
1157,48.16782704287447
1158,59.81803143093614
1159,57.71604938271628
1160,52.74208712002475
1161,70.52384675527689
1162,71.99628597957212
