,MIDDLE,UPPER,LOWER
132,199.99835,200.1680632504219,199.82863674957807
133,199.99734999999998,200.1657644574377,199.82893554256228
134,199.99585,200.16129822055424,199.83040177944574
135,200.00134999999997,200.1848999587817,199.81780004121825
136,200.00685,200.20854194332034,199.80515805667963
137,200.00934999999998,200.2150162037593,199.80368379624068
138,200.016415,200.2244494128929,199.80838058710708
139,200.018665,200.22555597332274,199.81177402667726
140,200.025415,200.23373793023927,199.81709206976075
141,200.028415,200.2357097586112,199.8211202413888
142,200.039415,200.22947881504578,199.8493511849542
143,200.041405,200.23559835426937,199.84721164573062
144,200.04429,200.24560892373273,199.84297107626725
145,200.03989,200.24195203216436,199.83782796783566
146,200.03414,200.25116607556234,199.81711392443768
147,200.03664,200.24874102260424,199.82453897739578
148,200.04014,200.2449315027027,199.8353484972973
